gvkey,iid,datadate,tic,ajexdi,prccd
007154,01,19900622,MCD,4.0000,34.2500
007154,01,19900625,MCD,4.0000,34.2500
007154,01,19900626,MCD,4.0000,34.2500
007154,01,19900627,MCD,4.0000,34.6250
007154,01,19900628,MCD,4.0000,35.8750
007154,01,19900629,MCD,4.0000,35.5000
007154,01,19900702,MCD,4.0000,35.6250
007154,01,19900703,MCD,4.0000,36.0000
007154,01,19900705,MCD,4.0000,35.3750
007154,01,19900706,MCD,4.0000,35.7500
007154,01,19900709,MCD,4.0000,36.0000
007154,01,19900710,MCD,4.0000,35.5000
007154,01,19900711,MCD,4.0000,36.0000
007154,01,19900712,MCD,4.0000,37.0000
007154,01,19900713,MCD,4.0000,37.0000
007154,01,19900716,MCD,4.0000,37.7500
007154,01,19900717,MCD,4.0000,38.1250
007154,01,19900718,MCD,4.0000,38.0000
007154,01,19900719,MCD,4.0000,37.5000
007154,01,19900720,MCD,4.0000,36.0000
007154,01,19900723,MCD,4.0000,33.0000
007154,01,19900724,MCD,4.0000,33.2500
007154,01,19900725,MCD,4.0000,33.2500
007154,01,19900726,MCD,4.0000,32.6250
007154,01,19900727,MCD,4.0000,31.7500
007154,01,19900730,MCD,4.0000,32.1250
007154,01,19900731,MCD,4.0000,31.3750
007154,01,19900801,MCD,4.0000,31.1250
007154,01,19900802,MCD,4.0000,30.7500
007154,01,19900803,MCD,4.0000,30.2500
007154,01,19900806,MCD,4.0000,29.1250
007154,01,19900807,MCD,4.0000,29.7500
007154,01,19900808,MCD,4.0000,30.1250
007154,01,19900809,MCD,4.0000,30.8750
007154,01,19900810,MCD,4.0000,29.8750
007154,01,19900813,MCD,4.0000,29.7500
007154,01,19900814,MCD,4.0000,30.0000
007154,01,19900815,MCD,4.0000,30.1250
007154,01,19900816,MCD,4.0000,29.0000
007154,01,19900817,MCD,4.0000,28.2500
007154,01,19900820,MCD,4.0000,28.3750
007154,01,19900821,MCD,4.0000,28.0000
007154,01,19900822,MCD,4.0000,27.6250
007154,01,19900823,MCD,4.0000,26.5000
007154,01,19900824,MCD,4.0000,27.3750
007154,01,19900827,MCD,4.0000,28.2500
007154,01,19900828,MCD,4.0000,27.8750
007154,01,19900829,MCD,4.0000,27.5000
007154,01,19900830,MCD,4.0000,27.7500
007154,01,19900831,MCD,4.0000,27.8750
007154,01,19900904,MCD,4.0000,28.0000
007154,01,19900905,MCD,4.0000,27.6250
007154,01,19900906,MCD,4.0000,26.7500
007154,01,19900907,MCD,4.0000,27.8750
007154,01,19900910,MCD,4.0000,27.6250
