gvkey,iid,datadate,tic,ajexdi,prccd
001161,01,19900622,AMD,2.0000,9.0000
001161,01,19900625,AMD,2.0000,9.0000
001161,01,19900626,AMD,2.0000,9.0000
001161,01,19900627,AMD,2.0000,9.1250
001161,01,19900628,AMD,2.0000,9.3750
001161,01,19900629,AMD,2.0000,9.5000
001161,01,19900702,AMD,2.0000,9.7500
001161,01,19900703,AMD,2.0000,9.5000
001161,01,19900705,AMD,2.0000,9.5000
001161,01,19900706,AMD,2.0000,9.6250
001161,01,19900709,AMD,2.0000,9.3750
001161,01,19900710,AMD,2.0000,9.0000
001161,01,19900711,AMD,2.0000,9.3750
001161,01,19900712,AMD,2.0000,9.3750
001161,01,19900713,AMD,2.0000,9.6250
001161,01,19900716,AMD,2.0000,9.6250
001161,01,19900717,AMD,2.0000,9.3750
001161,01,19900718,AMD,2.0000,9.1250
001161,01,19900719,AMD,2.0000,9.0000
001161,01,19900720,AMD,2.0000,7.2500
001161,01,19900723,AMD,2.0000,7.1250
001161,01,19900724,AMD,2.0000,7.1250
001161,01,19900725,AMD,2.0000,7.2500
001161,01,19900726,AMD,2.0000,7.2500
001161,01,19900727,AMD,2.0000,7.1250
001161,01,19900730,AMD,2.0000,7.1250
001161,01,19900731,AMD,2.0000,7.0000
001161,01,19900801,AMD,2.0000,6.8750
001161,01,19900802,AMD,2.0000,6.3750
001161,01,19900803,AMD,2.0000,6.1250
001161,01,19900806,AMD,2.0000,5.6250
001161,01,19900807,AMD,2.0000,5.3750
001161,01,19900808,AMD,2.0000,5.6250
001161,01,19900809,AMD,2.0000,5.6250
001161,01,19900810,AMD,2.0000,5.5000
001161,01,19900813,AMD,2.0000,5.7500
001161,01,19900814,AMD,2.0000,6.0000
001161,01,19900815,AMD,2.0000,6.0000
001161,01,19900816,AMD,2.0000,5.8750
001161,01,19900817,AMD,2.0000,5.7500
001161,01,19900820,AMD,2.0000,5.7500
001161,01,19900821,AMD,2.0000,5.5000
001161,01,19900822,AMD,2.0000,5.6250
001161,01,19900823,AMD,2.0000,5.5000
001161,01,19900824,AMD,2.0000,5.5000
001161,01,19900827,AMD,2.0000,5.7500
001161,01,19900828,AMD,2.0000,5.6250
001161,01,19900829,AMD,2.0000,5.2500
001161,01,19900830,AMD,2.0000,5.2500
001161,01,19900831,AMD,2.0000,5.3750
001161,01,19900904,AMD,2.0000,5.6250
001161,01,19900905,AMD,2.0000,5.8750
001161,01,19900906,AMD,2.0000,5.8750
001161,01,19900907,AMD,2.0000,6.2500
001161,01,19900910,AMD,2.0000,6.0000
001161,01,19900911,AMD,2.0000,6.0000
001161,01,19900912,AMD,2.0000,5.8750
001161,01,19900913,AMD,2.0000,5.8750
001161,01,19900914,AMD,2.0000,5.7500
001161,01,19900917,AMD,2.0000,5.7500
001161,01,19900918,AMD,2.0000,5.6250
001161,01,19900919,AMD,2.0000,5.7500
001161,01,19900920,AMD,2.0000,5.6250
001161,01,19900921,AMD,2.0000,5.5000
001161,01,19900924,AMD,2.0000,5.2500
001161,01,19900925,AMD,2.0000,5.2500
001161,01,19900926,AMD,2.0000,5.3750
001161,01,19900927,AMD,2.0000,5.2500
001161,01,19900928,AMD,2.0000,5.1250
001161,01,19901001,AMD,2.0000,5.3750
001161,01,19901002,AMD,2.0000,5.3750
001161,01,19901003,AMD,2.0000,5.0000
001161,01,19901004,AMD,2.0000,4.8750
001161,01,19901005,AMD,2.0000,5.0000
001161,01,19901008,AMD,2.0000,4.6250
001161,01,19901009,AMD,2.0000,4.0000
001161,01,19901010,AMD,2.0000,3.8750
001161,01,19901011,AMD,2.0000,4.2500
001161,01,19901012,AMD,2.0000,4.0000
001161,01,19901015,AMD,2.0000,4.1250
001161,01,19901016,AMD,2.0000,4.0000
001161,01,19901017,AMD,2.0000,3.7500
001161,01,19901018,AMD,2.0000,3.8750
001161,01,19901019,AMD,2.0000,4.0000
001161,01,19901022,AMD,2.0000,4.0000
001161,01,19901023,AMD,2.0000,4.0000
001161,01,19901024,AMD,2.0000,4.0000
001161,01,19901025,AMD,2.0000,4.1250
001161,01,19901026,AMD,2.0000,4.1250
001161,01,19901029,AMD,2.0000,4.0000
001161,01,19901030,AMD,2.0000,4.0000
001161,01,19901031,AMD,2.0000,3.8750
001161,01,19901101,AMD,2.0000,3.8750
001161,01,19901102,AMD,2.0000,3.7500
001161,01,19901105,AMD,2.0000,3.7500
001161,01,19901106,AMD,2.0000,3.7500
001161,01,19901107,AMD,2.0000,3.7500
001161,01,19901108,AMD,2.0000,3.8750
001161,01,19901109,AMD,2.0000,3.8750
001161,01,19901112,AMD,2.0000,4.6250
001161,01,19901113,AMD,2.0000,4.6250
001161,01,19901114,AMD,2.0000,4.7500
001161,01,19901115,AMD,2.0000,4.2500
001161,01,19901116,AMD,2.0000,4.2500
001161,01,19901119,AMD,2.0000,4.1250
001161,01,19901120,AMD,2.0000,4.1250
001161,01,19901121,AMD,2.0000,4.2500
001161,01,19901123,AMD,2.0000,4.0000
001161,01,19901126,AMD,2.0000,4.1250
001161,01,19901127,AMD,2.0000,4.1250
001161,01,19901128,AMD,2.0000,4.2500
001161,01,19901129,AMD,2.0000,4.1250
001161,01,19901130,AMD,2.0000,4.3750
001161,01,19901203,AMD,2.0000,4.3750
001161,01,19901204,AMD,2.0000,4.3750
001161,01,19901205,AMD,2.0000,4.6250
001161,01,19901206,AMD,2.0000,4.5000
001161,01,19901207,AMD,2.0000,4.6250
001161,01,19901210,AMD,2.0000,5.1250
001161,01,19901211,AMD,2.0000,4.8750
001161,01,19901212,AMD,2.0000,4.8750
001161,01,19901213,AMD,2.0000,4.8750
001161,01,19901214,AMD,2.0000,4.8750
001161,01,19901217,AMD,2.0000,4.8750
001161,01,19901218,AMD,2.0000,5.0000
001161,01,19901219,AMD,2.0000,5.2500
001161,01,19901220,AMD,2.0000,5.2500
001161,01,19901221,AMD,2.0000,5.3750
001161,01,19901224,AMD,2.0000,5.1250
001161,01,19901226,AMD,2.0000,5.1250
001161,01,19901227,AMD,2.0000,4.8750
001161,01,19901228,AMD,2.0000,4.7500
001161,01,19901231,AMD,2.0000,4.8750
001161,01,19910102,AMD,2.0000,5.0000
001161,01,19910103,AMD,2.0000,5.1250
001161,01,19910104,AMD,2.0000,5.1250
001161,01,19910107,AMD,2.0000,5.0000
001161,01,19910108,AMD,2.0000,5.0000
001161,01,19910109,AMD,2.0000,4.7500
001161,01,19910110,AMD,2.0000,4.8750
001161,01,19910111,AMD,2.0000,5.0000
001161,01,19910114,AMD,2.0000,4.7500
001161,01,19910115,AMD,2.0000,5.1250
001161,01,19910116,AMD,2.0000,5.3750
001161,01,19910117,AMD,2.0000,5.6250
001161,01,19910118,AMD,2.0000,5.6250
001161,01,19910121,AMD,2.0000,5.6250
001161,01,19910122,AMD,2.0000,5.8750
001161,01,19910123,AMD,2.0000,6.5000
001161,01,19910124,AMD,2.0000,6.8750
001161,01,19910125,AMD,2.0000,7.2500
001161,01,19910128,AMD,2.0000,6.8750
